[0/501] 0초 0/100 pos:0m, v:0m/s, Ek:0.0, p:0N
[184/501] 1초 84/100 pos:6.309999999999985m, v:-6.800000000000022m/s, Ek:23.12000000000015, p:-6.800000000000022N
[185/501] 1초 85/100 pos:6.239999999999985m, v:-7.000000000000022m/s, Ek:24.500000000000156, p:-7.000000000000022N
[186/501] 1초 86/100 pos:6.167999999999985m, v:-7.200000000000022m/s, Ek:25.92000000000016, p:-7.200000000000022N
[187/501] 1초 87/100 pos:6.093999999999985m, v:-7.400000000000023m/s, Ek:27.380000000000166, p:-7.400000000000023N
[188/501] 1초 88/100 pos:6.017999999999985m, v:-7.600000000000023m/s, Ek:28.880000000000173, p:-7.600000000000023N
[189/501] 1초 89/100 pos:5.939999999999984m, v:-7.800000000000023m/s, Ek:30.42000000000018, p:-7.800000000000023N
[190/501] 1초 90/100 pos:5.859999999999984m, v:-8.000000000000023m/s, Ek:32.000000000000185, p:-8.000000000000023N
[191/501] 1초 91/100 pos:5.7779999999999845m, v:-8.200000000000022m/s, Ek:33.62000000000018, p:-8.200000000000022N
[192/501] 1초 92/100 pos:5.693999999999984m, v:-8.400000000000022m/s, Ek:35.28000000000018, p:-8.400000000000022N
[193/501] 1초 93/100 pos:5.607999999999984m, v:-8.600000000000021m/s, Ek:36.98000000000018, p:-8.600000000000021N
[194/501] 1초 94/100 pos:5.519999999999984m, v:-8.80000000000002m/s, Ek:38.72000000000018, p:-8.80000000000002N
[195/501] 1초 95/100 pos:5.429999999999984m, v:-9.00000000000002m/s, Ek:40.50000000000018, p:-9.00000000000002N
[196/501] 1초 96/100 pos:5.337999999999983m, v:-9.200000000000019m/s, Ek:42.32000000000017, p:-9.200000000000019N
[197/501] 1초 97/100 pos:5.243999999999983m, v:-9.400000000000018m/s, Ek:44.18000000000017, p:-9.400000000000018N
[198/501] 1초 98/100 pos:5.147999999999983m, v:-9.600000000000017m/s, Ek:46.08000000000017, p:-9.600000000000017N
[199/501] 1초 99/100 pos:5.049999999999983m, v:-9.800000000000017m/s, Ek:48.02000000000017, p:-9.800000000000017N
[200/501] 2초 0/100 pos:4.949999999999982m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[201/501] 2초 1/100 pos:4.849999999999982m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[202/501] 2초 2/100 pos:4.749999999999981m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[203/501] 2초 3/100 pos:4.649999999999981m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[204/501] 2초 4/100 pos:4.54999999999998m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[205/501] 2초 5/100 pos:4.44999999999998m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[206/501] 2초 6/100 pos:4.349999999999979m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[207/501] 2초 7/100 pos:4.249999999999979m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[208/501] 2초 8/100 pos:4.149999999999978m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[209/501] 2초 9/100 pos:4.049999999999978m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[210/501] 2초 10/100 pos:3.9499999999999775m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[211/501] 2초 11/100 pos:3.8499999999999774m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[212/501] 2초 12/100 pos:3.7499999999999774m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[213/501] 2초 13/100 pos:3.6499999999999773m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[214/501] 2초 14/100 pos:3.549999999999977m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[215/501] 2초 15/100 pos:3.449999999999977m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[216/501] 2초 16/100 pos:3.349999999999977m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[217/501] 2초 17/100 pos:3.249999999999977m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[218/501] 2초 18/100 pos:3.149999999999977m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[219/501] 2초 19/100 pos:3.0499999999999767m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[220/501] 2초 20/100 pos:2.9499999999999766m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
